dt,experiment_id,variation,country,active_users,d1,retention_d1
2025-04-02,app_sensitive_image_exp,1,Gambia,3,2,0.6666666666666666
2025-04-02,app_sensitive_image_exp,2,Syria,2,0,0.0
2025-04-02,app_sensitive_image_exp,2,Sweden,4,1,0.25
2025-04-02,app_sensitive_image_exp,2,Czechia,7,4,0.5714285714285714
2025-04-02,app_sensitive_image_exp,1,San Marino,1,0,0.0
2025-04-02,app_sensitive_image_exp,1,Bermuda,2,2,1.0
2025-04-02,app_sensitive_image_exp,4,Suriname,1,1,1.0
2025-04-02,app_sensitive_image_exp,1,Canada,1850,1349,0.7291891891891892
2025-04-02,app_sensitive_image_exp,1,Germany,4064,3121,0.7679625984251969
2025-04-02,app_sensitive_image_exp,1,Serbia,105,80,0.7619047619047619
2025-04-02,app_sensitive_image_exp,1,Cambodia,150,109,0.7266666666666667
2025-04-02,app_sensitive_image_exp,1,Ukraine,784,591,0.7538265306122449
2025-04-02,app_sensitive_image_exp,1,Bulgaria,118,81,0.6864406779661016
2025-04-02,app_sensitive_image_exp,1,Ireland,104,76,0.7307692307692307
2025-04-02,app_sensitive_image_exp,0,New Zealand,29,23,0.7931034482758621
2025-04-02,app_sensitive_image_exp,0,Portugal,45,39,0.8666666666666667
2025-04-02,app_sensitive_image_exp,1,Moldova,44,30,0.6818181818181818
2025-04-02,app_sensitive_image_exp,2,Angola,3,1,0.3333333333333333
2025-04-02,app_sensitive_image_exp,4,Guadeloupe,1,1,1.0
2025-04-02,app_sensitive_image_exp,4,Belize,1,0,0.0
2025-04-02,app_sensitive_image_exp,0,Saint Lucia,2,2,1.0
2025-04-02,app_sensitive_image_exp,4,French Guiana,1,1,1.0
2025-04-02,app_sensitive_image_exp,0,Kenya,2,2,1.0
2025-04-02,app_sensitive_image_exp,4,Ireland,1,0,0.0
2025-04-02,app_sensitive_image_exp,1,Spain,3362,2543,0.75639500297442
2025-04-02,app_sensitive_image_exp,1,Malaysia,8552,6423,0.7510523854069223
2025-04-02,app_sensitive_image_exp,0,Maldives,2,2,1.0
2025-04-02,app_sensitive_image_exp,0,Spain,214,168,0.7850467289719626
2025-04-02,app_sensitive_image_exp,0,Czechia,45,39,0.8666666666666667
